#L=12, N=12, l=6, U/t=3.300000, num_replicas=1 
# betas    tau_K         tau_K_err          tau_V          tau_V_err 
2.000000 230.75000000 5.41830874 245.57500000 5.32710929
4.000000 366.30000000 8.63312358 383.65000000 8.06553654
8.000000 582.60000000 13.20563506 601.88750000 12.14001900
16.000000 1008.43750000 21.58268501 1057.28750000 26.30100947
32.000000 2123.27500000 90.83962773 2225.35000000 106.73519240
