# ks-value      p-value 
0.865603721002 0.268792557996 
0.615742518334 0.295307624433 
0.282409185000 0.925574798353 
0.365742518334 0.550994624061 
0.246502700914 0.855261241821 
0.177410867531 0.972538381623 
0.187171089762 0.931044625895 
0.207101061707 0.818389745720 
0.248767728374 0.553063233258 
0.246502700914 0.501840887679 
0.186409551566 0.775228081720 
0.196502700914 0.673998224253 
0.200395565552 0.604425339297 
0.160788415199 0.808292303934 
0.179836034247 0.652971624204 
0.196502700914 0.505530420767 
0.152385053855 0.770712316566 
0.113169367580 0.955164341573 
0.130713227229 0.860749620812 
0.146502700914 0.730613956860 
0.160788415199 0.593671935036 
0.128320882732 0.817563206559 
0.142154874827 0.689394828870 
0.154836034247 0.560636467528 
0.166502700914 0.444464303143 
0.138810393221 0.647982505582 
0.150206404617 0.527395378303 
0.160788415199 0.419929236825 
0.170640631948 0.328914438335 
0.179836034247 0.254293330797 
0.188438184785 0.194499408779 
0.196502700914 0.147392745948 
0.173775428186 0.242216618746 
0.181796818561 0.186595303349 
0.189359843771 0.142484989736 
0.196502700914 0.107945577175 
0.176232430643 0.177982017315 
0.157262499934 0.274333816748 
0.165359665926 0.211746894151 
0.173051973619 0.161727992631 
0.155978802887 0.244647483302 
0.139718640285 0.352171872553 
0.124214764316 0.482660632333 
0.132142882709 0.391720512353 
0.139718640285 0.313565094083 
0.146965017097 0.248086272579 
0.132626441704 0.349019154837 
0.139718640285 0.279060756508 
0.126113198108 0.384786848975 
0.133051973619 0.310766849306 
0.120110797148 0.420625927333 
0.107667358234 0.546888142194 
0.114561407581 0.456310672780 
0.102681603248 0.583643584322 
0.109415609982 0.491632072968 
0.115909116476 0.408267469001 
0.122174780636 0.334996778019 
0.118916494017 0.356648722666 
0.107519650066 0.470372793980 
0.113169367580 0.396290981827 
0.118633848455 0.330684750688 
0.107793023494 0.436689050330 
0.097296351707 0.556795081579 
0.102752700914 0.477522592873 
0.092656547068 0.599247463025 
0.098017852429 0.518464030492 
0.103219118824 0.443534301265 
0.108267406796 0.375780186462 
0.098676613957 0.482258430260 
0.103645558057 0.411705785707 
0.094390024857 0.521076503059 
0.099280478691 0.448199819755 
0.104036947489 0.381969996154 
0.095151349562 0.485027855645 
0.099836034247 0.416262918136 
0.091473026250 0.518684714845 
0.083441584008 0.626739488005 
0.075616076183 0.735049217766 
0.067988682479 0.834167902609 
0.073051973619 0.758923258702 
0.076132330543 0.706733696439 
0.080649042377 0.630824764733 
0.085056917781 0.556502729616 
0.077455081866 0.665677278325 
0.070032112678 0.772110580436 
0.074409677658 0.699420061639 
0.067192356086 0.801979324150 
0.071502700914 0.731835728444 
0.075716184060 0.659001347020 
0.068724923136 0.762723487298 
0.061887316298 0.855264236617 
0.066067918305 0.791903130992 
0.059405926720 0.878463181164 
0.063523977509 0.819218913893 
0.067555332493 0.752952463637 
0.067503639031 0.748285848395 
0.061060340062 0.840624218987 
0.064952618623 0.778088118259 
0.068766265294 0.711010423067 
0.062503639031 0.806177148632 
0.066266015269 0.741449106755 
0.069954619423 0.673953632112 
0.063862862332 0.770515785516 
0.067503639031 0.704627124828 
0.071075067603 0.637498046090 
0.065145148465 0.734241966238 
0.068671863330 0.668070822373 
0.063694972743 0.748828471188 
0.057918554123 0.837115458322 
0.061338070386 0.778914985973 
0.055686964735 0.862174494496 
0.050136771685 0.927455405830 
0.053534369662 0.884971487011 
0.056872360657 0.833920194229 
0.060152299635 0.776656420713 
0.063375687941 0.715664496351 
0.057996967045 0.804390863674 
0.052709410910 0.881002396297 
0.055949017182 0.829865329612 
0.050836972365 0.899986686954 
0.054073886965 0.851976227357 
0.057257737392 0.797020076772 
0.060389817893 0.737537528969 
0.063471380967 0.675842868266 
0.058503639031 0.763170315056 
0.061551258079 0.702707702716 
0.064550883126 0.641223589590 
0.067503639031 0.580436420258 
0.062658677791 0.668066145233 
0.057888254416 0.754015477911 
0.060838233161 0.694071735365 
0.063961064528 0.629165296705 
