#L=4, N=4, l=2, U/t=3.300000, beta=2.000000, num_replicas=1 
# L    tau_K         tau_K_err          tau_V          tau_V_err 
4 421.37500000 7.26687410 426.51500000 8.44951302
8 461.97500000 9.94381057 476.89000000 10.38688483
16 542.67000000 8.89383534 569.17500000 10.33637388
32 634.01000000 12.04358707 680.08500000 15.62443772
64 713.26000000 13.99411262 732.13000000 16.25571304
