# ks-value      p-value 
0.865603721002 0.268792557996 
0.615742518334 0.295307624433 
0.282409185000 0.970465097817 
0.365742518334 0.558161065371 
0.246502700914 0.921609761772 
0.177410867531 0.991607650735 
0.187171089762 0.966927432402 
0.207101061707 0.882544919410 
0.248767728374 0.563339544645 
0.246502700914 0.508583846530 
0.186409551566 0.839234374878 
0.196502700914 0.701382902240 
0.200395565552 0.620937453235 
0.160788415199 0.862136902281 
0.179836034247 0.677003279673 
0.196502700914 0.513133527756 
0.152385053855 0.824744613594 
0.113169367580 0.975249911421 
0.130713227229 0.901610826520 
0.146502700914 0.772826681562 
0.160788415199 0.609690476787 
0.128320882732 0.861785954440 
0.142154874827 0.721532000556 
0.154836034247 0.573173402630 
0.166502700914 0.449054349283 
0.138810393221 0.672189369026 
0.150206404617 0.537073075522 
0.160788415199 0.423574329804 
0.170640631948 0.330217478817 
0.179836034247 0.254737033085 
0.188438184785 0.194643950614 
0.196502700914 0.147437927884 
0.173775428186 0.242584505120 
0.181796818561 0.186719225189 
0.189359843771 0.142525140354 
0.196502700914 0.107958120275 
0.176232430643 0.178085504490 
0.157262499934 0.274965721319 
0.165359665926 0.211962667592 
0.173051973619 0.161798464789 
0.155978802887 0.245043859778 
0.139718640285 0.353978856591 
0.124214764316 0.489470861220 
0.132142882709 0.394548811491 
0.139718640285 0.314686892230 
0.146965017097 0.248512351535 
0.132626441704 0.350775782608 
0.139718640285 0.279757155166 
0.126113198108 0.387431264413 
0.133051973619 0.311857762284 
0.120110797148 0.424471914055 
0.107667358234 0.558632899211 
0.114561407581 0.461736974147 
0.102681603248 0.599264970746 
0.109415609982 0.499084968077 
0.115909116476 0.411679826412 
0.122174780636 0.336499485978 
0.118916494017 0.358598125229 
0.107519650066 0.476570291524 
0.113169367580 0.399315944764 
0.118633848455 0.332115416691 
0.107793023494 0.441232495489 
0.097296351707 0.569572836853 
0.102752700914 0.484149171913 
0.092656547068 0.616891334056 
0.098017852429 0.527875056826 
0.103219118824 0.448399314134 
0.108267406796 0.378221431552 
0.098676613957 0.489185875412 
0.103645558057 0.415276741805 
0.094390024857 0.530713626815 
0.099280478691 0.453296757475 
0.104036947489 0.384590638086 
0.095151349562 0.492141339129 
0.099836034247 0.420011604687 
0.091473026250 0.528152504629 
0.083441584008 0.648367027185 
0.075616076183 0.780486193471 
0.067988682479 0.858542862286 
0.073051973619 0.786733202922 
0.076132330543 0.744363213865 
0.080649042377 0.653119461584 
0.085056917781 0.569343819051 
0.077455081866 0.694151095479 
0.070032112678 0.798695382943 
0.074409677658 0.735274207566 
0.067192356086 0.827040109750 
0.071502700914 0.776388610798 
0.075716184060 0.686215435597 
0.068724923136 0.788937087104 
0.061887316298 0.876774573182 
0.066067918305 0.816771542690 
0.059405926720 0.898017707349 
0.063523977509 0.842572520892 
0.067555332493 0.778812818921 
0.067503639031 0.774151162038 
0.061060340062 0.862457409591 
0.064952618623 0.802771006418 
0.068766265294 0.749844112723 
0.062503639031 0.829500296802 
0.066266015269 0.789016531018 
0.069954619423 0.704182918304 
0.063862862332 0.794891911137 
0.067503639031 0.741855574612 
0.071075067603 0.660968695189 
0.065145148465 0.779614930461 
0.068671863330 0.697121880211 
0.063694972743 0.773295559116 
0.057918554123 0.858015779068 
0.061338070386 0.802281685417 
0.055686964735 0.881389920747 
0.050136771685 0.940950383170 
0.053534369662 0.902392992222 
0.056872360657 0.854566090061 
0.060152299635 0.799618886685 
0.063375687941 0.755799492119 
0.057996967045 0.826158112642 
0.052709410910 0.898387794366 
0.055949017182 0.850313746676 
0.050836972365 0.915728879312 
0.054073886965 0.871075829532 
0.057257737392 0.818655489673 
0.060389817893 0.783983183517 
0.063471380967 0.706538542675 
0.058503639031 0.785650014770 
0.061551258079 0.739537434287 
0.064550883126 0.665378618786 
0.067503639031 0.595975077016 
0.062658677791 0.697180903260 
0.057888254416 0.776319676981 
0.060838233161 0.728833668289 
0.063961064528 0.651355818218 
0.059518139032 0.749772471786 
0.055141525857 0.809874350351 
0.050829751396 0.876494032468 
0.053934326560 0.823751764739 
0.049694309385 0.887599194607 
0.045515741735 0.937354021743 
0.041397297360 0.971068352198 
0.044480545047 0.944595262582 
0.047520058725 0.907775161090 
0.043474508830 0.951206431530 
0.046478547045 0.916870595017 
0.042496418063 0.957216812340 
0.045465766722 0.925324828686 
0.048394439372 0.883805506854 
0.044480545047 0.933156035522 
0.046753907526 0.902724573539 
0.044803971012 0.925893953231 
0.042880033652 0.945531166519 
0.042588397460 0.947031905569 
0.045687051196 0.908876701721 
0.043795066332 0.930892849602 
0.048421159193 0.863101077384 
0.046535947630 0.890366547494 
0.044674905447 0.914568648432 
0.042837570807 0.935492928435 
0.042672226783 0.935830283469 
0.045521543086 0.896720186990 
0.043713366985 0.919838478326 
0.044480545047 0.907636763290 
0.047126047693 0.864525447818 
0.044556925268 0.902635125040 
0.046222705326 0.874772436781 
0.047122457894 0.857189488446 
0.051394089877 0.772932330013 
0.049626540638 0.805328597840 
0.047880033652 0.835893927616 
0.046154195388 0.864276767421 
0.044448661103 0.890160041404 
0.048611027804 0.813832700811 
0.052724994892 0.742556194202 
0.056791401667 0.631263712492 
0.055063941698 0.671606606791 
0.053356224128 0.713049259211 
0.051667912440 0.755509762404 
0.049998677720 0.768123163001 
0.048348198446 0.799643583555 
0.046716160281 0.829524604210 
0.045102255874 0.857444654435 
0.043506184665 0.883108379167 
0.041927652700 0.906262532097 
0.040366372450 0.926712658977 
0.038904908275 0.943396504757 
0.037465425314 0.957481305914 
